batch_size,blocks,buffer_size,gamma,horizon,kd_beta,kd_temperature,lr,method,pilot,recycle_fraction,run_id,seed,skew_probabilities,sleep_updates,total_updates,updates_per_block,width
64,30,500,0.9,10,1.0,2.0,0.001,ER_checkpoint,P,0.2,e7d030290a68ada7,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER_checkpoint,P,0.2,c78b65626685510d,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,ER_checkpoint,P,0.2,57289d0e13fd4f4a,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
