batch_size,blocks,buffer_size,gamma,horizon,kd_beta,kd_temperature,lr,method,pilot,recycle_fraction,run_id,seed,skew_probabilities,sleep_updates,total_updates,updates_per_block,width
64,30,500,0.9,10,1.0,2.0,0.001,uniform_task,B,0.2,4841ccb622637be6,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,uniform_task,B,0.2,951017962675c339,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,uniform_task,B,0.2,3dda8a625ba043ee,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,uniform_task,B,0.2,32d7b9e95a086003,3,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_frequency_weighted,B,0.2,0eeb005871a1377a,0,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_frequency_weighted,B,0.2,46a67f03e1dc21a1,1,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_frequency_weighted,B,0.2,b8be3acda5e9dd29,2,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
64,30,500,0.9,10,1.0,2.0,0.001,oracle_frequency_weighted,B,0.2,83033be9f97aa390,3,"[0.3, 0.3, 0.1, 0.1, 0.1, 0.02, 0.02, 0.02, 0.02, 0.02]",30,4500,150,50
