seed,oracle_frequency_weighted,uniform_task,oracle_minus_uniform
0,0.8365833333333333,0.8354548611111111,0.001128472222222232
1,0.8395173611111111,0.8353402777777778,0.004177083333333331
2,0.8345520833333333,0.8302569444444444,0.004295138888888883
3,0.828375,0.8284166666666667,-4.166666666671759e-05
